Hotel_Name,Rating,Price,kind_rat,Reviews,Rooms
Bait Al Amani Suites,6.1,170,Review score,229,Standard Double Room
Hodooa Al Masaken 3,6.3,150,Review score,412,Superior Apartment
Hodooa Al Masaken 5,6.4,200,Review score,393,Superior Apartment
Dari Wa Darak Furnished Units - Al Shifa,6.0,165,Review score,101,One-Bedroom Apartment
ال متعب سويتس طريق الدمام,5.9,200,Review score,142,Standard Apartment
درر رامه للأجنحة الفندقية 6,6.4,280,Review score,76,One-Bedroom Apartment
Ronza Land,6.2,190,Review score,38,One-Bedroom Apartment
Qasr Al Khalij Hotel,7.6,320,Good,144,Deluxe Single Room
Mabaat Homes - Rivera - VIP Luxury Apartment,6.3,1380,Review score,7,Three-Bedroom Apartment
MENA AL DIYAR 114,6.5,140,Review score,519,Studio
Aswar Hotel Suites Riyadh,8.5,638,Very Good,1469,Studio
Roof Hotel Apartments,8.1,399,Very Good,440,Superior King Room
Arjaan Altakhassusi Hotel Suites,8.6,289,Excellent,1678,Studio
Motiara Hotel - La Valle Mall,8.1,513,Very Good,744,Superior King Room
RAND by Wandalus (Formerly Coral Riyadh Suliemaniah),7.6,450,Good,608,Deluxe Double Room
Park House Hotel Suite,8.1,369,Very Good,474,Twin Suite
Dabab Hotel By Warwick,7.4,329,Good,2811,Standard King Room
Coral Olaya Hotel,6.9,265,Review score,1785,Deluxe Double Room
Najd Peak By Quiet Rooms,5.4,183,Review score,608,One-Bedroom Apartment
Dorat Najd Resort - منتجع درة نجد,7.8,950,Good,128,One-Bedroom Villa
Plaza Business Hotel,6.5,231,Review score,3600,Standard Double or Twin Room
Boudl Al Qasr,7.7,395,Good,2169,Studio
Nelover Qurtubah Hotel,8.5,563,Very Good,867,Deluxe King Suite 177 ft²
manzel aram 105,5.5,126,Review score,852,Studio
Almakan Suites 111,4.0,108,Review score,913,Studio Apartment
Rest Night Hotel Apartment,7.6,250,Good,2864,Single Room
Al Janaderia Suites 7,7.1,315,Good,842,One-Bedroom Apartment
Mira Trio Hotel - Riyadh - Tahlia Street,7.4,313,Good,2646,Standard King Room
Almakan Suites 101,5.3,126,Review score,897,Studio
Nelover Hotel Ar Rawdah,8.4,482,Very Good,1374,One-Bedroom Suite 197 ft²
Almakan Hotel 103,5.9,126,Review score,1797,One-Bedroom Apartment
Sama Hotel,7.3,190,Good,1182,Budget Double Room
Comfort Inn AL TAAWON FAMILY ONLY,5.6,257,Review score,514,Studio
Almakan Suites 102,5.4,126,Review score,612,Studio
Rose Garden Hotel,7.1,210,Good,3294,Deluxe Room
Arto Aparthotel,8.6,338,Excellent,770,Deluxe Apartment
Executive Suites,7.4,450,Good,709,Standard Double Room
Al Musafer Hotel Riyadh,5.9,138,Review score,590,Twin Room
Al Farhan Hotel Suites (Exit 15),6.4,169,Review score,454,Budget Double Room
Boudl Al Olaya,8.0,575,Very Good,614,Economy Double Room
Al Furat Madayin Hotel,7.0,200,Good,333,Standard Double or Twin Room
Al Naseem Apartments 9,4.8,52,Review score,26,Triple Room with Shared Bathroom
Nice Day Chalets,6.3,250,Review score,101,Two-Bedroom Chalet
Al Muhaidb Gharnata - Al Malaz,7.5,260,Good,691,Studio
Hotel Zayara,7.2,170,Good,621,Budget Double Room
Boudl Al Malaz,7.3,395,Good,1055,Suite
The One Resorts,7.5,2200,Good,82,One-Bedroom Villa
هيفن بلازا,6.3,243,Review score,3384,Standard Room
Burj Alhayah Hotel Suites Alfalah,7.5,240,Good,730,Deluxe Room
Boudl Khurais,5.9,360,Review score,248,Double or Twin Room
Al Eairy Apartments Al Riyad 5,4.7,90,Review score,188,Double Room with Private Bathroom
Zahrat Rozah By Quiet Rooms,6.8,206,Review score,395,One-Bedroom Apartment
Boudl Al Masif,7.2,495,Good,450,Standard Apartment
Warf Aldyafah Homes,7.8,375,Good,56,Two-Bedroom Apartment
By Quiet Rooms ركن العمر للوحدات السكنية,6.2,238,Review score,234,Studio
بي تو للوحدات الفندقية,4.9,220,Review score,68,Studio
درر رامه للاجنحة الفندقية 11,3.6,167,Review score,18,Studio
Al Eairy Apartments - Al Riyad 4,4.7,125,Review score,231,Deluxe Twin Room
Al Farhan Hotel Suites - Al Salam,6.6,180,Review score,1057,Double or Twin Room
Silent Room 2 By Quiet Rooms,7.6,203,Good,681,One-Bedroom Apartment
شاليهات المقصد Al Maqsd Chalets,7.4,1104,Good,51,Superior Chalet
Almakan Almosafer Hotel 106,5.6,153,Review score,1004,Studio
اركان التعاون,8.3,330,Very Good,27,Studio Apartment
Rokn Alyaqut Furnished Apartments,5.2,167,Review score,170,Double or Twin Room
دانة القادسية للوحدات السكنية المفروشة,7.8,250,Good,232,Studio
اجنحة مدى,8.4,530,Very Good,7,Two-Bedroom Apartment
مرسال سويت,5.4,269,Review score,360,Studio Apartment
خزامى الرياض للشقق المفروشة,7.4,220,Good,43,Twin Room
Al Farhan Hotel Suites Al Aqiq,6.6,214,Review score,394,Apartment
ROSEFIELD HOTEL,7.2,300,Good,25,Large Double Room
غالينا للشقق المفروشة,6.9,188,Review score,53,One-Bedroom Apartment
Elite Furnished Units,8.2,210,Very Good,102,One-Bedroom Apartment
Ronza Land Aparthotel,6.2,550,Review score,3,One-Bedroom Apartment
Dar Hashim Hotel Suites - Alnuzha,9.7,420,Exceptional,690,One-Bedroom Apartment
Al Eairy Apartments- Riyadh 3,5.3,105,Review score,606,Double or Twin Room
Tobal Al Malaz ApartHotel,6.9,202,Review score,178,Economy Double Room
فندق رايتنا العز,4.8,150,Review score,5,Budget Double or Twin Room
Hodo Al Masaken 2,6.3,200,Review score,155,Superior One-Bedroom Apartment
Danah Aparthotel,7.5,450,Good,105,Two-Bedroom Apartment
قصر التوت 3,5.8,173,Review score,98,One-Bedroom Suite
سمو 1,8.7,1800,Excellent,20,Three-Bedroom Villa
Goot Resorts,8.8,2380,Excellent,161,Premium One-Bedroom Villa with Private Pool 
اجنحة درر رامه 3,5.6,255,Review score,151,One-Bedroom Apartment
Al Eairy Apartment-Riyadh 6,5.2,95,Review score,512,Twin Room with Private External Bathroom
Nawara Furnished Units - ALAziziyah,7.9,250,Good,83,One-Bedroom Apartment
درة بازل,5.3,300,Review score,9,Deluxe Studio
Towlan Khurais,6.1,131,Review score,586,Standard Double Room
Aliah Tolan Palace,6.2,153,Review score,984,Deluxe Studio
towlan qurtaba,7.4,220,Good,162,Studio
Diva Chalet,8.8,2500,Excellent,14,Two-Bedroom Chalet
قصرالكادي,7.5,280,Good,4,One-Bedroom Apartment
Al Nozul Al Zahabiya,7.3,300,Good,13,One-Bedroom Apartment
Davli Resort,7.0,1320,Good,6,One-Bedroom Chalet
شانتال Chantal,5.3,3000,Review score,4,Chalet
Luxurious villa,9.0,4000,Wonderful,6,Villa with Private Pool
شاليهات صدف,5.4,700,Review score,5,Chalet
