,hotel,rating,kind_rat,reviews,reviews_clean,price,price_clean
24,Riyadh Marriott Hotel,7.7,Good,927 reviews,927,SAR 563,563
25,Braira Qurtubah,8.1,Very Good,"5,437 reviews",5437,SAR 551,551
26,"Crowne Plaza Riyadh Al Waha, an IHG Hotel",7.5,Good,"1,830 reviews",1830,SAR 471,471
27,Najmat Manami Azizyya,6.9,Review score,111 reviews,111,SAR 162,162
28,Hilton Garden Inn Riyadh Olaya,7.1,Good,613 reviews,613,SAR 289,289
29,"Radisson Blu Hotel, Riyadh",7.8,Good,"2,026 reviews",2026,SAR 536,536
30,Novotel Suites Riyadh Olaya,7.2,Good,"1,579 reviews",1579,SAR 405,405
31,Rest Night Hotel Suites - AL Ta`awon-Hussin bin Ali,7.0,Good,"1,625 reviews",1625,SAR 264,264
32,Rest Night Hotel Suites- - AL Nafal,7.4,Good,"2,151 reviews",2151,SAR 250,250
33,Ramada by Wyndham Hotel Riyadh,7.2,Good,"1,850 reviews",1850,SAR 393.41,393.41
34,Hayat Al Riyadh Hotel,8.2,Very Good,"2,291 reviews",2291,SAR 400,400
35,"Crowne Plaza Riyadh - RDC Hotel & Convention, an IHG Hotel",8.8,Excellent,"2,217 reviews",2217,SAR 831,831
36,Meral Crown Hotel,7.8,Good,"1,114 reviews",1114,SAR 315,315
37,Al Amoria Apartments,8.2,Very Good,66 reviews,66,SAR 296,296
38,Braira AL Wezarat,8.5,Very Good,"2,820 reviews",2820,SAR 428,428
39,Art View Hotel Al Riyadh,8.1,Very Good,"1,853 reviews",1853,SAR 675,675
40,Hyatt Regency Riyadh Olaya,8.4,Very Good,"6,952 reviews",6952,"SAR 1,220",1220
41,Courtyard by Marriott Riyadh Northern Ring Road,8.1,Very Good,"1,121 reviews",1121,SAR 630,630
42,Motiara Hotel - La Valle Mall,8.1,Very Good,744 reviews,744,SAR 513,513
43,Grand Plaza Hotel-Dhabab Riyadh,7.9,Good,981 reviews,981,SAR 350,350
44,Rosh Rayhaan by Rotana,8.2,Very Good,"3,080 reviews",3080,SAR 841.18,841.18
45,OYO 123 Dome El Nozha,7.2,Good,"1,923 reviews",1923,SAR 241,241
46,Radisson Blu Hotel Riyadh Qurtuba,8.0,Very Good,543 reviews,543,SAR 990,990
47,Grand Plaza Gulf Hotel - Riyadh,8.0,Very Good,"3,099 reviews",3099,SAR 417,417
48,"voco - Riyadh, an IHG Hotel",8.3,Very Good,"2,324 reviews",2324,SAR 808,808
49,Braira Olaya,8.6,Excellent,"3,382 reviews",3382,SAR 694,694
50,Al Mashreq Boutique Hotel – Small Luxury Hotels of the World,8.0,Very Good,"1,782 reviews",1782,SAR 726,726
51,"Al Faisaliah Hotel, Riyadh",8.2,Very Good,"1,389 reviews",1389,"SAR 2,055",2055
52,Holiday Khaleej Hotel,8.2,Very Good,"3,598 reviews",3598,SAR 495,495
53,Marriott Riyadh Diplomatic Quarter,8.4,Very Good,295 reviews,295,"SAR 1,200",1200
54,Fraser Suites Riyadh,7.9,Good,"4,133 reviews",4133,SAR 673,673
55,Executives Hotel / KAFD,8.1,Very Good,"3,495 reviews",3495,SAR 643.93,643.93
56,Al Amoria Apartments,8.2,Very Good,66 reviews,66,SAR 296,296
57,New Suite 3,7.8,Good,64 reviews,64,SAR 255,255
58,Aswar Hotel Suites Riyadh,8.5,Very Good,"1,469 reviews",1469,SAR 713,713
59,Riyadh Airport Marriott Hotel,7.9,Good,"1,663 reviews",1663,"SAR 1,300",1300
60,Swiss International Royal Hotel Riyadh,8.0,Very Good,"1,476 reviews",1476,SAR 645,645
61,RAND by Wandalus (Formerly Coral Riyadh Suliemaniah),7.6,Good,608 reviews,608,SAR 357.85,357.85
62,Ascott Rafal Olaya Riyadh,7.2,Good,"5,223 reviews",5223,SAR 836,836
63,Dabab Hotel By Warwick,7.4,Good,"2,811 reviews",2811,SAR 296.06,296.06
64,Madareem Crown Hotel,7.2,Good,640 reviews,640,SAR 499,499
65,Riyadh Diplomatic Quarter - Marriott Executive Apartments,8.3,Very Good,401 reviews,401,"SAR 2,100",2100
66,Dara Hotel Qurtubah,8.5,Very Good,297 reviews,297,SAR 718,718
67,Al Diafah Hotel Suites,7.0,Good,700 reviews,700,SAR 218.14,218.14
68,Hyatt Buyutat,6.8,Review score,"1,357 reviews",1357,SAR 536,536
69,Hyatt Place Riyadh Sulaimania,8.6,Excellent,"1,245 reviews",1245,"SAR 1,170",1170
70,Al Mutlaq Hotel Riyadh,7.8,Good,575 reviews,575,SAR 346.19,346.19
71,Clemence Suites,8.6,Excellent,527 reviews,527,SAR 750,750
72,The One Resorts,7.5,Good,82 reviews,82,"SAR 1,440",1440
73,Mnazel Jawraq,8.7,Excellent,58 reviews,58,"SAR 2,250",2250
74,"Park Inn by Radisson, Riyadh",8.1,Very Good,"1,679 reviews",1679,SAR 425,425
75,Capital O 162 Brzeen Hotel,6.3,Review score,"6,031 reviews",6031,SAR 158,158
76,Novotel Suites Riyadh Dyar,6.2,Review score,"3,535 reviews",3535,SAR 300,300
77,manzel aram 105,5.5,Review score,852 reviews,852,SAR 144,144
78,Plaza Business Hotel,6.5,Review score,"3,600 reviews",3600,SAR 350,350
79,Ewaa Express Hotel - Khurais,8.4,Very Good,"1,831 reviews",1831,SAR 360,360
